trial	target	response
16	-12.50	-30.61
31	-37.50	-44.58
40	-37.50	-19.32
55	-37.50	30.21
62	-12.50	-16.80
92	-37.50	-45.30
149	-12.50	17.59
158	-12.50	-19.43
182	-12.50	-18.40
196	-12.50	-35.76
213	-12.50	28.50
223	37.50	-2.67
256	-37.50	-33.93
276	37.50	9.35
286	37.50	9.43
310	12.50	24.39
348	37.50	36.62
360	-37.50	-35.53
365	-12.50	-3.39
372	37.50	10.66
378	12.50	27.72
389	12.50	8.71
419	37.50	50.12
439	12.50	-21.73
461	12.50	-30.79
480	12.50	-24.03
486	-12.50	-3.49
523	-37.50	-12.02
534	-12.50	-1.33
554	12.50	14.04
592	37.50	30.56
622	37.50	16.76
641	37.50	39.62
652	37.50	20.27
658	12.50	-10.07
675	-12.50	-20.86
697	-12.50	-34.92
728	12.50	12.18
747	37.50	42.50
772	37.50	56.22
795	12.50	11.32
818	-37.50	-28.65
824	37.50	27.54
838	12.50	8.42
858	37.50	42.43
868	-12.50	-27.51
892	-37.50	-28.08
906	12.50	-28.16
933	37.50	-23.69
955	12.50	-20.93
962	12.50	12.78
969	37.50	11.08
985	-37.50	-35.27
1000	37.50	11.12
1005	37.50	9.97
1018	12.50	-20.40
1028	-12.50	-10.44
1103	-12.50	-6.56
1110	-12.50	-12.83
1124	-12.50	-22.43
1145	-12.50	-11.83
1150	12.50	-5.15
1167	12.50	7.61
1187	-12.50	23.50
1224	-37.50	-26.79
1234	37.50	10.32
1283	-37.50	-22.80
1290	12.50	-15.30
1302	37.50	13.48
1310	37.50	28.25
1328	-12.50	-13.59
1357	-12.50	-24.33
