trial	target	response
5	-12.50	39.25
14	-12.50	-15.80
24	37.50	24.60
85	37.50	25.50
90	-12.50	-23.96
118	12.50	-16.04
130	37.50	24.55
141	12.50	12.82
157	37.50	33.50
163	12.50	-1.07
187	12.50	11.39
195	12.50	-3.16
237	-37.50	-29.51
244	-12.50	-16.79
253	12.50	-2.71
287	37.50	22.03
300	37.50	7.11
307	-12.50	-17.18
339	12.50	-3.06
358	-12.50	-16.25
380	37.50	9.74
412	-12.50	-16.08
425	37.50	8.86
435	-12.50	-15.91
462	12.50	11.62
488	12.50	-0.40
519	37.50	11.79
525	-37.50	-23.76
541	37.50	21.52
553	-12.50	-14.16
572	-12.50	-14.56
577	-12.50	-14.16
595	-37.50	-33.44
622	12.50	10.82
647	12.50	-1.76
659	-12.50	-14.69
694	-12.50	-13.74
699	37.50	22.24
704	-37.50	-23.69
716	12.50	-0.97
729	12.50	0.55
743	37.50	11.86
764	12.50	0.03
775	-37.50	-23.39
807	-12.50	-13.89
812	-37.50	-34.23
819	37.50	10.33
855	-37.50	-33.90
949	37.50	9.75
962	37.50	9.83
993	-37.50	-32.82
1001	-12.50	-0.76
1037	37.50	23.38
1053	-12.50	-13.64
1060	37.50	24.72
1068	12.50	9.79
1085	-12.50	-22.42
1093	-12.50	-12.73
1099	-12.50	-1.28
1136	12.50	-1.54
1157	37.50	8.80
1172	12.50	-1.47
1201	-12.50	-15.35
1208	37.50	11.80
1243	-12.50	-13.34
1269	-12.50	-14.47
1274	12.50	-0.83
1286	-37.50	-21.86
1300	-37.50	-30.89
1306	37.50	23.54
1323	37.50	21.70
1350	37.50	23.66
