trial	target	response
67	12.50	2.38
76	-37.50	-16.06
96	-37.50	1.61
112	37.50	2.30
121	37.50	-0.03
141	37.50	1.59
161	12.50	2.53
181	37.50	2.72
191	-37.50	2.12
207	-12.50	2.34
221	12.50	0.16
235	-12.50	-11.97
254	-37.50	16.78
278	12.50	20.85
298	-12.50	26.16
329	-12.50	19.87
337	12.50	18.44
359	-37.50	20.53
365	-37.50	21.12
392	37.50	21.43
404	-37.50	19.76
433	12.50	22.02
443	12.50	21.81
470	12.50	31.01
518	37.50	-5.36
544	-12.50	13.61
564	12.50	20.93
590	37.50	19.80
623	12.50	-13.97
630	37.50	31.55
641	37.50	51.66
650	37.50	13.78
656	-12.50	5.45
691	12.50	18.07
701	37.50	30.14
712	-12.50	36.97
768	-12.50	10.58
787	-37.50	21.04
806	12.50	-6.31
817	12.50	-6.59
830	-12.50	-6.47
845	-37.50	-3.05
856	-12.50	-8.32
880	-37.50	-6.20
886	37.50	-11.71
905	37.50	-1.64
919	-12.50	-15.04
935	37.50	-16.79
965	37.50	22.50
981	-37.50	6.92
1017	12.50	22.04
1052	12.50	7.17
1073	-37.50	3.82
1103	-12.50	6.66
1127	12.50	-10.69
1146	12.50	3.20
1152	37.50	4.14
1165	12.50	2.90
1183	37.50	3.75
1196	37.50	3.39
1211	-12.50	20.23
1247	-37.50	20.84
1280	37.50	21.49
1293	12.50	20.90
1314	37.50	20.99
1320	-37.50	22.84
1362	-37.50	21.30
1376	12.50	21.99
1383	-12.50	20.32
1401	37.50	23.01
1418	-12.50	22.47
1438	37.50	21.06
