trial	target	response
23	-37.50	-32.83
29	12.50	11.51
43	-37.50	-45.69
64	37.50	7.76
70	12.50	-7.49
83	12.50	6.97
128	37.50	5.15
148	37.50	14.84
185	12.50	-5.52
190	-37.50	-31.13
217	37.50	18.20
223	-37.50	-21.29
259	-37.50	-35.14
267	12.50	n/a
273	37.50	-6.63
292	37.50	12.73
311	37.50	19.86
323	-37.50	-36.44
334	-37.50	-27.39
371	-12.50	-18.13
405	37.50	17.06
433	37.50	10.46
438	-37.50	-29.64
444	-12.50	-21.29
460	-37.50	-33.57
466	37.50	4.75
501	-12.50	-4.44
507	-12.50	-1.38
519	37.50	3.93
550	-12.50	-3.57
561	-37.50	-28.60
575	37.50	5.12
612	12.50	0.17
629	-37.50	-28.57
634	37.50	2.62
647	37.50	3.29
709	-37.50	-32.39
761	-12.50	5.42
785	37.50	19.69
806	-37.50	-24.84
819	12.50	5.74
847	-12.50	-24.14
856	37.50	-1.73
861	37.50	3.63
873	-37.50	-33.22
878	37.50	20.42
888	37.50	20.00
901	12.50	-4.84
924	-12.50	-22.07
980	12.50	n/a
989	-12.50	-21.88
1009	-37.50	-32.98
1025	-37.50	-38.94
1042	37.50	3.51
1047	37.50	3.12
1057	12.50	5.83
1086	-12.50	-21.33
1094	-12.50	-20.56
1111	37.50	3.47
1128	-12.50	-20.48
1152	-12.50	-21.07
1179	-37.50	-32.67
1186	-12.50	-22.62
1195	12.50	5.45
1231	12.50	6.39
1248	-37.50	-23.06
1259	-12.50	-21.99
1286	37.50	10.36
1294	-37.50	-22.28
1328	37.50	3.82
1336	37.50	2.44
1367	37.50	4.17
