trial	target	response
13	37.50	25.29
20	12.50	22.99
27	-37.50	-11.06
40	37.50	35.84
48	12.50	0.67
60	37.50	30.70
109	-37.50	-11.35
138	37.50	23.70
195	37.50	12.64
203	37.50	44.36
217	12.50	12.76
233	12.50	0.31
260	-37.50	-28.47
316	-12.50	1.02
337	-12.50	0.56
358	37.50	13.74
364	37.50	29.99
375	-12.50	2.46
385	12.50	1.16
399	-37.50	6.57
406	12.50	16.94
431	-12.50	2.35
438	37.50	27.99
445	12.50	12.76
497	12.50	-0.33
514	12.50	15.81
552	37.50	22.39
562	-37.50	-13.71
580	-12.50	0.99
603	12.50	11.75
614	12.50	-1.07
634	-37.50	-13.00
641	-12.50	0.15
679	-12.50	-9.70
698	12.50	1.46
717	37.50	22.79
736	37.50	28.55
765	37.50	11.79
789	37.50	13.36
795	-37.50	-26.03
821	37.50	33.70
827	37.50	31.96
847	-37.50	-12.84
856	-37.50	-12.04
863	-37.50	-24.73
869	37.50	14.45
893	-12.50	1.14
943	37.50	0.81
966	-12.50	-0.83
972	-37.50	-34.37
983	12.50	16.71
989	37.50	29.36
1008	-37.50	-27.11
1019	-12.50	-14.13
1025	-12.50	0.80
1062	-37.50	-20.13
1075	-37.50	-23.36
1137	-37.50	-13.79
1152	37.50	15.79
1166	37.50	32.26
1207	-37.50	-13.61
1213	37.50	28.55
1239	-37.50	-27.11
1245	37.50	14.80
1281	-37.50	-13.10
1312	-12.50	-0.09
1334	37.50	31.37
1361	12.50	12.27
1374	12.50	15.54
1381	-12.50	1.68
1425	37.50	31.03
1439	-12.50	2.83
