trial	target	response
10	12.50	-47.67
20	12.50	n/a
50	37.50	n/a
78	-12.50	-0.36
91	12.50	n/a
107	-12.50	0.10
136	-12.50	-27.33
153	-37.50	n/a
188	-12.50	0.35
194	12.50	1.06
212	-37.50	-44.97
225	-37.50	-26.35
261	12.50	11.18
267	37.50	-2.09
273	12.50	-20.44
285	-12.50	-2.06
304	12.50	24.30
311	37.50	28.47
346	-37.50	-26.91
356	-12.50	-25.84
370	-37.50	-27.43
414	-12.50	-0.91
430	-12.50	-27.93
454	12.50	33.03
473	12.50	33.98
484	-12.50	1.02
500	-37.50	-27.69
507	12.50	29.74
531	12.50	26.48
536	-12.50	2.18
549	-37.50	-33.07
564	-12.50	-1.50
605	-12.50	3.55
652	-12.50	26.73
657	-37.50	0.08
667	-37.50	11.57
691	-37.50	-1.87
729	37.50	22.50
747	37.50	-1.31
754	-12.50	-1.14
760	-37.50	1.35
776	37.50	0.52
810	-37.50	-27.87
832	12.50	32.78
842	37.50	0.70
851	37.50	27.41
874	37.50	n/a
909	37.50	17.83
917	12.50	23.95
949	12.50	25.29
965	-12.50	0.20
977	-37.50	7.19
989	37.50	23.02
994	12.50	1.36
1005	37.50	25.76
1053	-12.50	24.78
1073	-12.50	11.18
1103	12.50	30.77
1117	-37.50	1.73
1130	-37.50	-1.28
1149	12.50	21.43
1158	37.50	32.45
1177	12.50	-1.23
1199	37.50	33.25
1213	37.50	22.92
1243	-12.50	-0.62
1251	37.50	27.07
1263	-12.50	0.78
1288	-37.50	-30.15
1300	-12.50	1.06
1313	-12.50	n/a
1350	-37.50	0.56
