trial	target	response
30	12.50	13.20
38	12.50	42.00
62	-37.50	-39.24
75	-37.50	-45.22
86	37.50	40.39
100	-12.50	7.03
129	-37.50	-47.29
155	37.50	10.21
186	12.50	-11.11
193	12.50	23.15
199	37.50	23.37
225	-12.50	38.47
237	37.50	-37.55
254	37.50	16.92
322	12.50	20.30
332	-12.50	-11.55
337	12.50	2.50
368	-37.50	-36.11
374	-12.50	-13.15
397	12.50	28.59
408	12.50	-20.68
418	-37.50	-35.96
428	12.50	22.58
439	-37.50	-34.61
477	-37.50	-39.85
490	12.50	0.04
521	-37.50	-37.41
530	-37.50	-37.89
562	-12.50	-21.54
577	37.50	11.85
583	12.50	-5.14
604	-12.50	14.30
630	-37.50	-22.69
641	-12.50	-15.84
661	37.50	11.45
672	-37.50	-36.06
703	12.50	15.87
718	37.50	24.34
734	-37.50	-38.68
761	12.50	-14.49
778	37.50	29.55
802	-12.50	6.51
813	-37.50	-36.54
821	-12.50	0.86
851	37.50	36.73
879	37.50	31.79
886	12.50	11.62
902	12.50	-3.83
930	-37.50	-21.56
948	37.50	31.15
957	-37.50	-21.95
962	-37.50	-10.97
970	37.50	28.59
989	-12.50	2.52
1001	-37.50	-23.50
1060	-37.50	-22.82
1083	-12.50	16.03
1117	37.50	13.09
1127	12.50	3.70
1133	12.50	1.12
1149	-37.50	-44.52
1163	-12.50	4.68
1183	12.50	-14.47
1198	37.50	11.93
1205	12.50	-2.27
1225	-37.50	-21.96
1262	-12.50	30.90
1294	37.50	31.23
1301	-12.50	16.76
1322	-12.50	-16.85
1344	-37.50	-21.56
1363	-37.50	-10.15
