trial	target	response
6	-12.50	39.25
16	-12.50	-15.80
27	37.50	24.60
89	37.50	25.50
95	-12.50	-23.96
124	12.50	-16.04
137	37.50	24.55
149	12.50	12.82
166	37.50	33.50
173	12.50	-1.07
198	12.50	11.39
207	12.50	-3.16
250	-37.50	-29.51
258	-12.50	-16.79
268	12.50	-2.71
303	37.50	22.03
317	37.50	7.11
325	-12.50	-17.18
358	12.50	-3.06
378	-12.50	-16.25
401	37.50	9.74
434	-12.50	-16.08
448	37.50	8.86
459	-12.50	-15.91
487	12.50	11.62
514	12.50	-0.40
546	37.50	11.79
553	-37.50	-23.76
570	37.50	21.52
583	-12.50	-14.16
603	-12.50	-14.56
609	-12.50	-14.16
628	-37.50	-33.44
656	12.50	10.82
682	12.50	-1.76
695	-12.50	-14.69
731	-12.50	-13.74
737	37.50	22.24
743	-37.50	-23.69
756	12.50	-0.97
770	12.50	0.55
785	37.50	11.86
807	12.50	0.03
819	-37.50	-23.39
852	-12.50	-13.89
858	-37.50	-34.23
866	37.50	10.33
903	-37.50	-33.90
998	37.50	9.75
1012	37.50	9.83
1044	-37.50	-32.82
1053	-12.50	-0.76
1090	37.50	23.38
1107	-12.50	-13.64
1115	37.50	24.72
1124	12.50	9.79
1142	-12.50	-22.42
1151	-12.50	-12.73
1158	-12.50	-1.28
1196	12.50	-1.54
1218	37.50	8.80
1234	12.50	-1.47
1264	-12.50	-15.35
1272	37.50	11.80
1308	-12.50	-13.34
1335	-12.50	-14.47
1341	12.50	-0.83
1354	-37.50	-21.86
1369	-37.50	-30.89
1376	37.50	23.54
1394	37.50	21.70
1422	37.50	23.66
