trial	target	response
17	-37.50	-12.18
44	12.50	22.37
50	-37.50	-3.04
69	12.50	23.45
81	-12.50	-11.15
99	12.50	-5.21
116	37.50	24.97
129	12.50	n/a
159	-37.50	-20.84
167	12.50	12.50
177	37.50	40.38
232	-12.50	-8.91
248	-12.50	-12.02
277	12.50	7.24
292	-12.50	-1.69
303	37.50	46.32
316	37.50	40.25
329	37.50	49.13
339	37.50	37.79
370	12.50	23.86
376	-12.50	-9.22
425	-37.50	-21.39
444	-37.50	-21.13
479	-37.50	-22.14
495	37.50	44.62
513	-37.50	-25.81
529	12.50	8.68
536	12.50	3.13
544	-12.50	-2.19
553	37.50	24.25
576	-12.50	-12.64
594	-12.50	-2.40
618	37.50	11.28
637	37.50	41.46
709	12.50	28.08
716	37.50	12.21
726	12.50	26.30
739	37.50	41.48
755	12.50	12.00
762	-12.50	-24.68
786	12.50	10.55
801	-37.50	-26.16
808	-12.50	-10.64
830	-37.50	-22.14
889	37.50	40.63
904	12.50	23.70
944	37.50	39.75
954	37.50	36.60
971	-12.50	-14.06
987	37.50	42.02
994	37.50	8.15
1004	12.50	26.19
1019	-37.50	-2.92
1030	37.50	26.45
1065	-12.50	-11.78
1086	-12.50	-12.59
1104	-12.50	-23.29
1115	37.50	45.86
1157	12.50	42.31
1199	37.50	27.10
1208	37.50	20.23
1221	-37.50	-25.86
1234	12.50	23.28
1249	-12.50	-11.56
1271	-37.50	-23.26
1282	-12.50	-23.96
1294	-12.50	-11.19
1301	-37.50	-29.16
1325	-12.50	-10.54
1366	-37.50	-22.70
1378	-37.50	-22.91
1406	12.50	38.59
