trial	target	response
14	12.50	-14.54
23	12.50	n/a
35	-12.50	-22.98
58	-12.50	-37.98
76	37.50	14.17
102	-37.50	26.52
109	12.50	5.46
115	-37.50	-23.14
127	37.50	15.79
183	12.50	-39.82
209	-12.50	6.98
220	12.50	26.34
238	12.50	-23.45
267	-12.50	40.71
278	37.50	4.26
287	12.50	-36.42
303	-12.50	4.04
315	-12.50	-34.87
361	-37.50	-6.48
371	37.50	-53.91
383	37.50	-9.51
403	37.50	33.70
413	-12.50	-40.69
422	-37.50	n/a
462	-37.50	-7.85
500	12.50	6.39
525	-12.50	14.12
538	-12.50	30.67
555	-37.50	-51.70
563	-12.50	-21.76
574	-37.50	7.66
604	12.50	-7.77
618	37.50	-8.63
654	12.50	-20.49
669	12.50	27.22
679	12.50	5.64
692	12.50	5.58
722	-12.50	27.52
746	-37.50	42.15
758	37.50	-9.12
797	-37.50	25.65
822	-37.50	-0.47
841	37.50	-25.38
851	-12.50	9.02
858	12.50	23.71
877	37.50	n/a
889	37.50	-26.46
911	12.50	-8.81
918	-12.50	34.54
932	37.50	5.92
949	-37.50	-24.26
955	37.50	-28.25
980	37.50	8.81
1004	37.50	7.32
1044	-37.50	-36.48
1082	-37.50	31.93
1093	37.50	-8.09
1105	-12.50	35.03
1129	12.50	5.98
1135	12.50	-39.11
1151	12.50	-38.19
1159	12.50	12.03
1187	-37.50	-52.52
1235	-12.50	-37.61
1242	-12.50	-9.79
1248	-12.50	-11.39
1254	12.50	-3.14
1301	37.50	28.58
1318	-37.50	10.26
1327	37.50	-21.03
1341	-12.50	-36.58
1346	-12.50	14.55
