trial	target	response
16	-37.50	-12.18
42	12.50	22.37
47	-37.50	-3.04
65	12.50	23.45
76	-12.50	-11.15
93	12.50	-5.21
109	37.50	24.97
121	12.50	n/a
150	-37.50	-20.84
157	12.50	12.50
166	37.50	40.38
220	-12.50	-8.91
235	-12.50	-12.02
263	12.50	7.24
277	-12.50	-1.69
287	37.50	46.32
299	37.50	40.25
311	37.50	49.13
320	37.50	37.79
350	12.50	23.86
355	-12.50	-9.22
403	-37.50	-21.39
421	-37.50	-21.13
455	-37.50	-22.14
470	37.50	44.62
487	-37.50	-25.81
502	12.50	8.68
508	12.50	3.13
515	-12.50	-2.19
523	37.50	24.25
545	-12.50	-12.64
562	-12.50	-2.40
585	37.50	11.28
603	37.50	41.46
674	12.50	28.08
680	37.50	12.21
689	12.50	26.30
701	37.50	41.48
716	12.50	12.00
722	-12.50	-24.68
745	12.50	10.55
759	-37.50	-26.16
765	-12.50	-10.64
786	-37.50	-22.14
844	37.50	40.63
858	12.50	23.70
897	37.50	39.75
906	37.50	36.60
922	-12.50	-14.06
937	37.50	42.02
943	37.50	8.15
952	12.50	26.19
966	-37.50	-2.92
976	37.50	26.45
1010	-12.50	-11.78
1030	-12.50	-12.59
1047	-12.50	-23.29
1057	37.50	45.86
1098	12.50	42.31
1139	37.50	27.10
1147	37.50	20.23
1159	-37.50	-25.86
1171	12.50	23.28
1185	-12.50	-11.56
1206	-37.50	-23.26
1216	-12.50	-23.96
1227	-12.50	-11.19
1233	-37.50	-29.16
1256	-12.50	-10.54
1296	-37.50	-22.70
1307	-37.50	-22.91
1334	12.50	38.59
