trial	target	response
13	37.50	21.88
24	37.50	25.70
29	12.50	8.68
37	37.50	18.49
42	-37.50	-2.29
51	-37.50	-13.93
86	-37.50	-2.29
120	12.50	7.26
134	-12.50	0.28
148	37.50	6.65
158	12.50	-2.07
220	-12.50	-3.87
237	12.50	-12.49
243	-37.50	-14.84
303	-37.50	-12.33
310	-37.50	-13.32
321	-37.50	-15.43
339	-12.50	2.21
358	37.50	12.30
368	-12.50	0.65
379	-37.50	-12.60
398	-37.50	-11.91
424	-12.50	-13.69
432	37.50	8.37
505	12.50	0.37
520	12.50	9.31
542	-12.50	-0.93
549	37.50	13.37
566	-37.50	-14.31
596	-37.50	1.10
601	37.50	25.35
624	12.50	0.49
632	12.50	-0.04
637	12.50	-2.40
655	37.50	23.56
669	-37.50	-2.05
705	12.50	0.64
739	-12.50	1.49
744	37.50	5.29
753	-12.50	1.43
767	-12.50	2.19
782	12.50	10.84
813	37.50	26.19
860	-12.50	-11.55
870	37.50	25.62
882	37.50	27.81
891	12.50	2.56
903	12.50	2.29
918	-12.50	-1.71
927	12.50	12.27
967	37.50	10.79
985	37.50	12.21
996	37.50	8.15
1010	-12.50	-4.30
1021	37.50	10.21
1038	-12.50	-4.09
1054	37.50	11.21
1081	-37.50	-1.37
1110	37.50	9.95
1128	-37.50	-1.99
1144	-37.50	-14.66
1154	37.50	26.51
1168	-12.50	-2.72
1176	-12.50	-1.42
1189	12.50	9.81
1200	-12.50	-1.30
1228	-12.50	10.28
1251	-12.50	14.97
1303	12.50	10.01
1313	37.50	8.06
1336	37.50	10.76
1347	12.50	-0.92
