trial	target	response
15	12.50	-14.54
25	12.50	n/a
38	-12.50	-22.98
62	-12.50	-37.98
81	37.50	14.17
108	-37.50	26.52
116	12.50	5.46
123	-37.50	-23.14
136	37.50	15.79
193	12.50	-39.82
220	-12.50	6.98
232	12.50	26.34
251	12.50	-23.45
281	-12.50	40.71
293	37.50	4.26
303	12.50	-36.42
320	-12.50	4.04
333	-12.50	-34.87
380	-37.50	-6.48
391	37.50	-53.91
404	37.50	-9.51
425	37.50	33.70
436	-12.50	-40.69
446	-37.50	n/a
487	-37.50	-7.85
526	12.50	6.39
552	-12.50	14.12
566	-12.50	30.67
584	-37.50	-51.70
593	-12.50	-21.76
605	-37.50	7.66
636	12.50	-7.77
651	37.50	-8.63
688	12.50	-20.49
704	12.50	27.22
715	12.50	5.64
729	12.50	5.58
760	-12.50	27.52
785	-37.50	42.15
798	37.50	-9.12
838	-37.50	25.65
864	-37.50	-0.47
884	37.50	-25.38
895	-12.50	9.02
903	12.50	23.71
923	37.50	n/a
936	37.50	-26.46
959	12.50	-8.81
967	-12.50	34.54
982	37.50	5.92
1000	-37.50	-24.26
1007	37.50	-28.25
1033	37.50	8.81
1058	37.50	7.32
1099	-37.50	-36.48
1138	-37.50	31.93
1150	37.50	-8.09
1163	-12.50	35.03
1188	12.50	5.98
1195	12.50	-39.11
1212	12.50	-38.19
1221	12.50	12.03
1250	-37.50	-52.52
1299	-12.50	-37.61
1307	-12.50	-9.79
1314	-12.50	-11.39
1321	12.50	-3.14
1369	37.50	28.58
1387	-37.50	10.26
1397	37.50	-21.03
1412	-12.50	-36.58
1418	-12.50	14.55
