trial	target	response
25	37.50	-21.50
35	12.50	-4.29
50	37.50	-27.02
55	12.50	46.40
74	-37.50	-20.38
86	37.50	37.57
92	37.50	-28.91
116	12.50	61.22
143	37.50	44.06
157	-37.50	n/a
183	-12.50	14.66
213	-12.50	26.48
237	37.50	-22.45
246	-37.50	-5.03
312	37.50	-4.58
332	-37.50	-9.81
347	37.50	-28.84
361	-12.50	-29.37
379	37.50	39.55
396	37.50	-24.29
408	12.50	36.80
417	12.50	19.42
439	37.50	-18.66
454	12.50	-24.27
468	-12.50	7.27
476	-12.50	-22.60
491	37.50	-25.22
520	-12.50	35.99
529	-12.50	49.15
534	37.50	-0.96
543	12.50	64.73
556	-12.50	58.32
581	37.50	-8.42
590	-37.50	22.40
617	12.50	50.91
644	-12.50	41.56
696	37.50	-26.19
703	-37.50	-9.05
721	37.50	3.91
731	12.50	10.35
739	-37.50	39.14
788	-12.50	36.25
812	12.50	-4.85
817	37.50	-16.98
823	37.50	-17.35
855	-37.50	18.49
860	-37.50	50.26
899	-37.50	-8.45
917	37.50	-13.72
926	-12.50	4.85
949	-37.50	50.01
956	12.50	32.88
987	37.50	-7.17
998	-12.50	43.08
1032	-37.50	47.56
1038	12.50	19.62
1044	-37.50	18.94
1051	-12.50	33.31
1059	-12.50	-4.98
1122	-12.50	49.48
1150	-37.50	-5.80
1166	-12.50	15.22
1174	12.50	22.83
1182	37.50	-13.56
1201	12.50	-14.32
1224	12.50	28.63
1264	37.50	-13.82
1301	37.50	-9.57
1313	12.50	17.66
1318	37.50	-16.46
1348	-37.50	24.08
1367	12.50	-10.61
