trial	target	response
18	-37.50	-12.25
45	12.50	5.84
74	-37.50	45.33
93	12.50	12.44
113	-37.50	-12.28
129	-12.50	40.71
165	-37.50	76.90
176	-12.50	50.13
207	-37.50	-22.20
213	37.50	-7.50
220	-12.50	-11.39
226	37.50	n/a
238	37.50	n/a
269	37.50	n/a
274	-12.50	3.05
281	12.50	34.33
298	-12.50	18.44
310	12.50	14.63
323	12.50	n/a
362	37.50	13.14
373	12.50	41.36
411	37.50	n/a
445	37.50	15.15
454	-37.50	-12.23
464	37.50	9.00
510	12.50	n/a
518	-12.50	-23.32
548	37.50	n/a
570	-37.50	18.75
581	-12.50	2.36
587	12.50	n/a
594	12.50	10.51
606	37.50	44.86
619	-37.50	3.64
639	-12.50	48.56
660	37.50	28.99
697	-37.50	17.69
717	12.50	-9.85
739	-37.50	0.02
752	-12.50	0.66
773	37.50	5.40
820	-37.50	-36.02
829	37.50	n/a
837	37.50	n/a
862	-12.50	-0.96
884	12.50	-10.92
891	12.50	n/a
896	12.50	7.35
921	12.50	9.29
931	-37.50	22.40
936	37.50	-11.39
941	-12.50	18.01
946	-12.50	-0.42
1002	-37.50	-8.75
1011	12.50	11.19
1034	37.50	43.61
1045	-37.50	19.63
1064	37.50	22.11
1107	37.50	n/a
1113	12.50	n/a
1152	-12.50	0.44
1157	12.50	n/a
1176	37.50	17.64
1198	37.50	15.14
1216	12.50	16.58
1223	37.50	-6.44
1259	-12.50	15.37
1266	37.50	-7.27
1301	37.50	38.33
1320	-37.50	1.35
1327	-37.50	-12.10
1366	-12.50	38.73
