trial	target	response
4	-37.50	-52.05
36	37.50	10.18
41	12.50	-2.67
52	37.50	8.95
71	12.50	-1.47
82	-12.50	-13.61
87	-12.50	-26.02
122	12.50	-13.94
145	-12.50	-24.76
165	37.50	0.76
210	12.50	-12.57
224	37.50	-1.21
234	37.50	-3.53
265	-12.50	-14.26
296	37.50	9.38
322	-37.50	-27.83
334	12.50	-12.65
345	-37.50	-24.32
358	-37.50	-34.30
389	-12.50	-24.75
418	12.50	-1.04
426	37.50	9.16
435	12.50	-0.13
448	12.50	-1.87
460	37.50	9.04
481	-12.50	-26.87
491	-12.50	-24.96
513	12.50	-25.16
554	-12.50	-23.52
597	12.50	-1.29
604	12.50	-24.65
632	-37.50	-40.60
647	-12.50	-24.39
656	-37.50	-23.97
674	-12.50	-24.92
680	-37.50	-27.11
712	-37.50	-38.33
720	-37.50	-37.14
729	-37.50	-33.29
752	-12.50	-34.48
798	-37.50	-34.90
816	-12.50	-22.62
826	37.50	9.77
846	37.50	11.04
853	-37.50	-35.57
858	-37.50	-34.74
870	37.50	7.95
893	37.50	8.50
919	-12.50	-40.77
928	12.50	-26.88
935	-12.50	-22.90
950	-12.50	-23.35
993	-37.50	-23.79
1001	37.50	-2.10
1006	-37.50	-34.57
1050	-37.50	-34.57
1059	12.50	-23.96
1076	-37.50	-33.67
1096	-37.50	-35.39
1116	-12.50	-23.65
1154	-37.50	-29.32
1163	37.50	11.19
1176	-37.50	-38.13
1215	12.50	-23.69
1226	-37.50	-35.49
1243	37.50	7.58
1250	-37.50	-34.27
1271	-12.50	-26.38
1278	37.50	10.36
1310	-12.50	-23.71
1354	37.50	10.34
1360	37.50	8.01
