trial	target	response
31	12.50	13.20
40	12.50	42.00
65	-37.50	-39.24
79	-37.50	-45.22
91	37.50	40.39
106	-12.50	7.03
136	-37.50	-47.29
163	37.50	10.21
195	12.50	-11.11
203	12.50	23.15
210	37.50	23.37
237	-12.50	38.47
250	37.50	-37.55
268	37.50	16.92
337	12.50	20.30
348	-12.50	-11.55
354	12.50	2.50
386	-37.50	-36.11
393	-12.50	-13.15
417	12.50	28.59
429	12.50	-20.68
440	-37.50	-35.96
451	12.50	22.58
463	-37.50	-34.61
502	-37.50	-39.85
516	12.50	0.04
548	-37.50	-37.41
558	-37.50	-37.89
591	-12.50	-21.54
607	37.50	11.85
614	12.50	-5.14
636	-12.50	14.30
663	-37.50	-22.69
675	-12.50	-15.84
696	37.50	11.45
708	-37.50	-36.06
740	12.50	15.87
756	37.50	24.34
773	-37.50	-38.68
801	12.50	-14.49
819	37.50	29.55
844	-12.50	6.51
856	-37.50	-36.54
865	-12.50	0.86
896	37.50	36.73
925	37.50	31.79
933	12.50	11.62
950	12.50	-3.83
979	-37.50	-21.56
998	37.50	31.15
1008	-37.50	-21.95
1014	-37.50	-10.97
1023	37.50	28.59
1043	-12.50	2.52
1056	-37.50	-23.50
1116	-37.50	-22.82
1140	-12.50	16.03
1175	37.50	13.09
1186	12.50	3.70
1193	12.50	1.12
1210	-37.50	-44.52
1225	-12.50	4.68
1246	12.50	-14.47
1262	37.50	11.93
1270	12.50	-2.27
1291	-37.50	-21.96
1329	-12.50	30.90
1362	37.50	31.23
1370	-12.50	16.76
1392	-12.50	-16.85
1415	-37.50	-21.56
1435	-37.50	-10.15
