trial	target	response
11	-37.50	-3.06
25	37.50	36.94
31	12.50	23.00
91	-37.50	-11.79
101	37.50	n/a
134	37.50	-4.00
140	-37.50	-35.45
150	12.50	16.83
182	12.50	16.00
188	-12.50	2.75
229	-12.50	18.74
238	37.50	-11.82
287	37.50	31.00
329	-12.50	n/a
353	-37.50	n/a
365	-37.50	n/a
379	12.50	33.93
385	37.50	30.40
414	37.50	-3.44
436	37.50	9.97
443	12.50	32.43
450	-37.50	-12.11
462	-37.50	n/a
477	-12.50	n/a
499	-37.50	n/a
517	37.50	41.58
537	12.50	27.50
543	12.50	31.84
554	37.50	32.55
574	-37.50	n/a
597	-37.50	16.79
620	-37.50	n/a
634	37.50	28.27
693	37.50	26.20
702	37.50	46.32
708	-37.50	n/a
743	37.50	26.16
767	37.50	38.45
778	37.50	22.96
794	-37.50	n/a
822	37.50	18.06
844	12.50	14.06
869	-12.50	n/a
889	12.50	7.80
903	37.50	40.45
915	-12.50	n/a
930	37.50	15.67
942	12.50	41.23
986	12.50	7.29
1014	12.50	18.85
1052	12.50	24.84
1073	12.50	12.99
1089	37.50	26.24
1106	-37.50	n/a
1118	-12.50	n/a
1128	-37.50	7.60
1137	-12.50	n/a
1146	-37.50	n/a
1164	12.50	21.87
1170	-37.50	n/a
1226	-37.50	11.10
1265	12.50	17.52
1277	37.50	19.94
1302	37.50	19.27
1323	-12.50	n/a
1329	-12.50	n/a
1348	-37.50	n/a
1363	-37.50	17.39
1376	-12.50	n/a
1396	12.50	30.32
1423	12.50	16.76
1429	-12.50	n/a
