trial	target	response
19	-37.50	-12.25
47	12.50	5.84
77	-37.50	45.33
97	12.50	12.44
118	-37.50	-12.28
135	-12.50	40.71
172	-37.50	76.90
184	-12.50	50.13
216	-37.50	-22.20
223	37.50	-7.50
231	-12.50	-11.39
238	37.50	n/a
251	37.50	n/a
283	37.50	n/a
289	-12.50	3.05
297	12.50	34.33
315	-12.50	18.44
328	12.50	14.63
342	12.50	n/a
382	37.50	13.14
394	12.50	41.36
433	37.50	n/a
468	37.50	15.15
478	-37.50	-12.23
489	37.50	9.00
536	12.50	n/a
545	-12.50	-23.32
576	37.50	n/a
599	-37.50	18.75
611	-12.50	2.36
618	12.50	n/a
626	12.50	10.51
639	37.50	44.86
653	-37.50	3.64
674	-12.50	48.56
696	37.50	28.99
734	-37.50	17.69
755	12.50	-9.85
778	-37.50	0.02
792	-12.50	0.66
814	37.50	5.40
862	-37.50	-36.02
872	37.50	n/a
881	37.50	n/a
907	-12.50	-0.96
930	12.50	-10.92
938	12.50	n/a
944	12.50	7.35
970	12.50	9.29
981	-37.50	22.40
987	37.50	-11.39
993	-12.50	18.01
999	-12.50	-0.42
1056	-37.50	-8.75
1066	12.50	11.19
1090	37.50	43.61
1102	-37.50	19.63
1122	37.50	22.11
1166	37.50	n/a
1173	12.50	n/a
1213	-12.50	0.44
1219	12.50	n/a
1239	37.50	17.64
1262	37.50	15.14
1281	12.50	16.58
1289	37.50	-6.44
1326	-12.50	15.37
1334	37.50	-7.27
1370	37.50	38.33
1390	-37.50	1.35
1398	-37.50	-12.10
1438	-12.50	38.73
