trial	target	response
20	12.50	-23.30
47	-12.50	-20.25
75	-37.50	-40.10
89	37.50	n/a
105	12.50	42.30
141	-37.50	-50.57
164	12.50	3.49
169	-37.50	-37.38
176	-37.50	-27.27
190	-37.50	-18.23
200	-12.50	n/a
223	-37.50	-38.28
236	12.50	n/a
251	37.50	n/a
266	37.50	n/a
288	12.50	7.77
293	-12.50	-5.69
298	-37.50	-28.88
328	-37.50	-37.24
357	37.50	n/a
366	-12.50	-19.91
390	37.50	n/a
403	37.50	n/a
420	-37.50	-51.89
462	37.50	n/a
473	-12.50	-22.19
486	12.50	1.92
500	37.50	n/a
513	-12.50	-8.32
557	37.50	n/a
570	37.50	n/a
581	-12.50	-11.28
617	-12.50	10.79
624	-12.50	-6.22
645	-12.50	-40.97
683	-37.50	-40.46
699	37.50	n/a
711	37.50	n/a
717	12.50	24.14
728	-12.50	2.01
733	12.50	-4.59
738	-37.50	-31.52
756	12.50	-3.37
781	37.50	n/a
817	37.50	n/a
837	-12.50	-23.27
884	-37.50	-39.67
890	-12.50	-20.99
939	-12.50	-10.59
963	-37.50	-39.29
972	-37.50	-52.84
980	-37.50	-40.29
987	37.50	n/a
1001	12.50	-19.67
1026	37.50	n/a
1035	12.50	-5.79
1045	12.50	-6.78
1058	37.50	n/a
1089	12.50	-4.19
1135	-37.50	-32.35
1146	-12.50	3.78
1157	-12.50	-23.32
1178	12.50	6.12
1191	-37.50	-39.37
1233	-12.50	-0.13
1246	-37.50	-29.69
1278	-37.50	-39.48
1283	-12.50	3.08
1291	37.50	n/a
1297	37.50	n/a
1310	-12.50	-21.26
1345	-12.50	-29.35
