trial	target	response
16	-37.50	-24.90
39	37.50	32.40
63	37.50	52.33
69	12.50	28.68
92	12.50	25.95
103	-12.50	-19.24
114	12.50	9.06
159	12.50	-7.02
170	-12.50	-17.85
186	37.50	25.44
206	-37.50	-24.53
219	12.50	0.19
234	37.50	26.79
239	-12.50	-6.67
259	12.50	13.96
270	-12.50	-2.40
277	-37.50	-31.63
308	12.50	10.26
318	-12.50	0.60
332	-37.50	-21.01
365	-12.50	-21.56
375	12.50	25.39
407	37.50	15.50
454	12.50	-4.40
514	37.50	30.32
522	12.50	-4.05
531	12.50	-5.21
538	-12.50	-18.44
552	37.50	26.53
568	12.50	-7.31
576	-37.50	-21.76
582	12.50	5.65
623	12.50	11.52
643	-12.50	-7.30
672	-12.50	-1.75
683	12.50	5.41
728	37.50	29.17
739	-12.50	-23.15
748	-12.50	-4.00
777	-37.50	-26.51
786	-37.50	-32.10
807	-37.50	-25.59
818	37.50	30.64
835	-37.50	-11.49
844	12.50	0.78
850	-12.50	7.53
876	-37.50	23.91
885	37.50	27.51
921	-37.50	-19.78
936	12.50	10.28
943	-12.50	-21.74
978	12.50	20.54
987	37.50	29.25
1017	-12.50	-17.65
1030	37.50	29.88
1049	-37.50	-26.50
1082	-12.50	-22.80
1095	-37.50	-19.17
1114	-12.50	-15.10
1121	-12.50	21.50
1152	-12.50	-23.56
1178	-37.50	-23.92
1190	-12.50	-23.41
1200	12.50	22.10
1227	12.50	14.11
1232	-12.50	18.51
1299	-37.50	-20.73
1308	12.50	-16.42
1321	12.50	31.43
1326	37.50	23.99
1333	12.50	16.75
1350	-37.50	-28.03
