trial	target	response
12	37.50	25.29
18	12.50	22.99
24	-37.50	-11.06
36	37.50	35.84
43	12.50	0.67
54	37.50	30.70
102	-37.50	-11.35
130	37.50	23.70
186	37.50	12.64
193	37.50	44.36
206	12.50	12.76
221	12.50	0.31
247	-37.50	-28.47
302	-12.50	1.02
322	-12.50	0.56
342	37.50	13.74
347	37.50	29.99
357	-12.50	2.46
366	12.50	1.16
379	-37.50	6.57
385	12.50	16.94
409	-12.50	2.35
415	37.50	27.99
421	12.50	12.76
472	12.50	-0.33
488	12.50	15.81
525	37.50	22.39
534	-37.50	-13.71
551	-12.50	0.99
573	12.50	11.75
583	12.50	-1.07
602	-37.50	-13.00
608	-12.50	0.15
645	-12.50	-9.70
663	12.50	1.46
681	37.50	22.79
699	37.50	28.55
727	37.50	11.79
750	37.50	13.36
755	-37.50	-26.03
780	37.50	33.70
785	37.50	31.96
804	-37.50	-12.84
812	-37.50	-12.04
818	-37.50	-24.73
823	37.50	14.45
846	-12.50	1.14
895	37.50	0.81
917	-12.50	-0.83
922	-37.50	-34.37
932	12.50	16.71
937	37.50	29.36
955	-37.50	-27.11
965	-12.50	-14.13
970	-12.50	0.80
1006	-37.50	-20.13
1018	-37.50	-23.36
1079	-37.50	-13.79
1093	37.50	15.79
1106	37.50	32.26
1146	-37.50	-13.61
1151	37.50	28.55
1176	-37.50	-27.11
1181	37.50	14.80
1216	-37.50	-13.10
1246	-12.50	-0.09
1267	37.50	31.37
1293	12.50	12.27
1305	12.50	15.54
1311	-12.50	1.68
1354	37.50	31.03
1367	-12.50	2.83
