trial	target	response
25	-37.50	-31.94
55	12.50	8.50
71	-37.50	-39.45
91	12.50	13.42
104	-12.50	-3.35
113	37.50	18.23
129	12.50	-10.65
149	37.50	11.71
177	37.50	4.53
183	37.50	26.70
196	37.50	16.87
218	37.50	-14.19
246	-12.50	1.39
254	-12.50	15.44
274	37.50	11.52
323	-37.50	-26.15
348	-37.50	-15.61
356	12.50	-1.84
366	-12.50	-15.06
387	12.50	11.52
403	-37.50	-18.78
432	-37.50	-26.53
438	-37.50	-18.96
452	37.50	14.62
496	12.50	-2.66
501	-37.50	-13.38
519	12.50	14.95
525	12.50	11.81
532	-12.50	-6.49
537	37.50	12.74
547	12.50	0.70
552	37.50	14.41
557	-12.50	13.12
587	-37.50	-12.65
597	-37.50	-19.49
651	37.50	16.49
709	37.50	13.45
722	-12.50	-0.13
739	-12.50	15.83
749	-37.50	-15.81
759	-37.50	-1.90
803	-12.50	2.89
820	-12.50	12.14
832	12.50	10.26
842	12.50	-1.21
877	-37.50	-25.80
882	-12.50	-2.32
910	12.50	13.01
926	-37.50	-20.45
938	12.50	3.54
959	-12.50	9.11
976	37.50	16.36
997	-12.50	-11.08
1014	-12.50	-0.57
1064	-12.50	11.87
1100	37.50	12.95
1107	-37.50	-11.98
1112	-12.50	11.79
1124	-37.50	-13.00
1132	-37.50	-15.23
1168	12.50	17.97
1191	37.50	12.98
1207	37.50	4.61
1219	12.50	3.64
1249	-12.50	-9.44
1255	-12.50	-1.93
1260	-37.50	-2.00
1280	12.50	0.98
1292	-37.50	-9.32
1303	-12.50	4.76
1346	37.50	15.31
1359	12.50	3.51
