trial	target	response
27	12.50	1.02
37	-37.50	-10.54
61	-37.50	-33.03
72	-12.50	-4.00
88	-37.50	-38.93
114	-12.50	1.27
125	12.50	0.88
139	37.50	30.62
153	-37.50	-38.93
181	-12.50	0.13
194	-37.50	-6.97
207	37.50	31.41
247	37.50	33.66
283	-12.50	9.85
290	12.50	10.10
306	12.50	-9.85
323	12.50	11.78
370	37.50	25.31
387	-12.50	-36.85
406	12.50	-0.34
411	-37.50	-0.67
426	12.50	-0.92
437	12.50	-2.29
443	-37.50	-9.90
469	-37.50	-1.64
484	12.50	13.44
538	-37.50	-18.89
562	-12.50	-17.71
570	-12.50	-0.59
583	-37.50	-20.72
597	12.50	12.77
634	12.50	-21.02
644	-37.50	5.28
651	12.50	14.20
656	37.50	30.68
677	12.50	-1.19
703	-12.50	-10.39
712	-12.50	10.45
732	37.50	10.33
742	12.50	-3.72
752	-37.50	-24.48
759	-12.50	-27.31
779	12.50	-22.09
793	-12.50	-19.12
810	37.50	10.74
876	12.50	-25.90
886	-12.50	6.85
911	-12.50	3.56
917	-12.50	-6.78
923	37.50	24.47
935	-37.50	-31.22
963	37.50	22.84
993	12.50	6.56
1008	12.50	-0.71
1022	12.50	8.44
1047	-12.50	-13.42
1054	-37.50	-15.37
1060	37.50	22.26
1101	12.50	-25.37
1112	12.50	8.88
1148	12.50	7.75
1156	12.50	10.26
1162	-37.50	5.19
1173	-12.50	7.79
1187	-12.50	-16.41
1197	-12.50	-25.00
1222	12.50	8.25
1237	-12.50	7.23
1247	37.50	23.01
1283	-37.50	-7.16
1328	-12.50	8.28
1338	37.50	27.20
