trial	target	response
7	12.50	-1.40
13	-12.50	-26.88
27	-12.50	-24.30
37	37.50	13.74
43	-12.50	-14.55
69	-37.50	4.36
82	-12.50	-25.53
100	37.50	21.68
106	37.50	34.26
117	-12.50	-0.97
150	-12.50	-26.83
227	-37.50	-34.98
242	12.50	5.67
274	12.50	4.80
280	12.50	7.23
293	-37.50	-23.09
298	37.50	20.46
322	-12.50	-9.56
333	12.50	4.81
338	12.50	3.67
357	-37.50	-23.81
384	-37.50	-37.29
413	37.50	17.44
423	-12.50	-24.15
483	37.50	18.19
498	12.50	18.69
515	12.50	-11.33
521	-12.50	-11.03
553	12.50	2.60
562	-12.50	-9.71
575	-12.50	-10.48
588	-12.50	3.65
625	-37.50	-36.46
650	-37.50	-20.34
670	-37.50	-22.45
679	-37.50	-36.59
688	-37.50	-21.08
694	-12.50	6.72
703	37.50	37.15
708	37.50	21.97
745	12.50	6.08
768	-12.50	-8.03
814	-12.50	-20.80
820	37.50	10.85
827	37.50	22.90
871	37.50	8.35
878	37.50	10.66
901	-12.50	4.14
926	-12.50	-11.36
940	12.50	-10.07
970	12.50	4.68
985	-12.50	-9.99
993	12.50	7.39
1017	37.50	4.00
1032	37.50	-8.89
1050	-12.50	5.61
1071	37.50	21.76
1095	-12.50	2.68
1109	37.50	13.20
1115	37.50	-11.48
1148	-37.50	-11.84
1167	12.50	1.32
1183	12.50	3.06
1210	12.50	3.15
1222	37.50	16.62
1227	-12.50	1.45
1262	-37.50	-12.25
1268	12.50	1.95
1284	-37.50	-12.12
1295	37.50	3.36
1319	37.50	0.31
1363	-12.50	-14.06
