trial	target	response
24	-37.50	-32.83
31	12.50	11.51
46	-37.50	-45.69
68	37.50	7.76
75	12.50	-7.49
89	12.50	6.97
135	37.50	5.15
156	37.50	14.84
194	12.50	-5.52
200	-37.50	-31.13
228	37.50	18.20
235	-37.50	-21.29
272	-37.50	-35.14
281	12.50	n/a
288	37.50	-6.63
308	37.50	12.73
328	37.50	19.86
341	-37.50	-36.44
353	-37.50	-27.39
391	-12.50	-18.13
426	37.50	17.06
455	37.50	10.46
461	-37.50	-29.64
468	-12.50	-21.29
485	-37.50	-33.57
492	37.50	4.75
528	-12.50	-4.44
535	-12.50	-1.38
548	37.50	3.93
580	-12.50	-3.57
592	-37.50	-28.60
607	37.50	5.12
645	12.50	0.17
663	-37.50	-28.57
669	37.50	2.62
683	37.50	3.29
746	-37.50	-32.39
799	-12.50	5.42
824	37.50	19.69
846	-37.50	-24.84
860	12.50	5.74
889	-12.50	-24.14
899	37.50	-1.73
905	37.50	3.63
918	-37.50	-33.22
924	37.50	20.42
935	37.50	20.00
949	12.50	-4.84
973	-12.50	-22.07
1030	12.50	n/a
1040	-12.50	-21.88
1061	-37.50	-32.98
1078	-37.50	-38.94
1096	37.50	3.51
1102	37.50	3.12
1113	12.50	5.83
1143	-12.50	-21.33
1152	-12.50	-20.56
1170	37.50	3.47
1188	-12.50	-20.48
1213	-12.50	-21.07
1241	-37.50	-32.67
1249	-12.50	-22.62
1259	12.50	5.45
1296	12.50	6.39
1314	-37.50	-23.06
1326	-12.50	-21.99
1354	37.50	10.36
1363	-37.50	-22.28
1398	37.50	3.82
1407	37.50	2.44
1439	37.50	4.17
